Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,Clock_1,Clock_2,dataOneMinPress_1,dataOneMinPress_2
1,1,0,7130.jpg,0.0142317997788268,0.531839746523474,2.9316167227953,NaN,1,,,,
2,1,0,2312.jpg,2.9433807112855,3.46103605208191,5.35516649500187,NaN,1,,,,
3,1,0,5535.jpg,5.36696067078628,5.88458823927158,5.97870226030409,NaN,1,,,,
4,1,0,5535.jpg,5.99046564504806,6.50812128771759,7.90812919678865,0.894227344134379,1,,,,
5,1,0,9045.jpg,7.91989741149973,8.43754912982149,10.637564404592,NaN,1,,,,
6,1,0,4003.jpg,10.6493286949553,11.1669834320055,13.2611185841433,NaN,1,,,,
7,1,0,4525.jpg,13.2728822707613,13.7905385171762,15.2846634660091,NaN,1,14.225911746842,,,
8,1,0,4525.jpg,15.2964292657362,15.8140852102788,18.2141021755378,NaN,0,,,,
9,1,0,8050.jpg,18.2258676733927,18.7435224104438,19.6376434953027,NaN,1,,,,
10,1,0,7237.jpg,19.6494467272751,20.1670773144906,20.4729497695507,NaN,1,,,,
11,1,0,4000.jpg,20.4847092299469,21.0023666838533,22.8023785776477,NaN,1,,,,
12,1,0,4180.jpg,22.8141434717563,23.3317966994418,24.5318041255168,NaN,1,,,,
13,1,0,2850.jpg,24.5435675102608,25.0612270772781,25.1553365702166,NaN,1,,,,
14,1,0,4530.jpg,25.1671014643252,25.6847580126141,26.778884108563,NaN,1,,,,
15,1,0,6314.jpg,26.7906480970532,27.3083028341043,28.0024216247284,NaN,1,,,,
16,1,0,6314.jpg,28.0141871225833,28.5318436708721,29.5318485008393,0.74126591021377,1,,,,
17,1,0,7830.jpg,29.5436124893295,30.0612823200263,32.5554039482568,NaN,1,,,,
18,1,0,7180.jpg,32.5671833322667,33.0848250887811,33.284822854921,NaN,1,,,,
19,1,0,7190.jpg,33.2965862396659,33.8142536553796,34.6142447199409,NaN,1,,,,
20,1,0,4001.jpg,34.6260099159226,35.1436673698299,35.5436653170937,NaN,1,,,,
21,1,0,4520.jpg,35.5554302112023,36.0730982306623,37.1672068179814,NaN,1,,,,
22,1,0,8116.jpg,37.1789741270741,37.6966309772351,40.0966464331295,NaN,1,39.3084860709787,39.4614278831586,,
23,1,0,8116.jpg,40.1084092141282,40.6260687811464,41.6260714980026,1.03538403671791,1,,,,
24,1,0,4490.jpg,41.6378369958575,42.1554884123052,42.955496683624,NaN,1,,,,
25,1,0,7820.jpg,42.9672597664958,43.4849286915742,44.9790424711082,NaN,1,,,,
26,1,0,7496.jpg,44.9908067614715,45.5084618003948,46.6025845757422,NaN,1,,,,
27,1,0,7496.jpg,46.6143518848348,47.1320069237581,48.4261452757492,0.647142229247038,1,,,,
28,1,0,4530.jpg,48.4378962837027,48.9555531338638,49.0496641361669,NaN,1,,,,
29,1,0,7130.jpg,49.0614305396402,49.5791000684649,50.6732122782596,NaN,1,50.1674003185362,,,
30,1,0,4000.jpg,50.6849780779876,51.2026316075462,52.8967615674692,NaN,1,,,,
31,1,0,7820.jpg,52.9085243484678,53.4261793873911,55.1203075360772,NaN,1,,,,
