Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,Clock_1,Clock_2,Clock_3,dataOneMinPress_1,dataOneMinPress_2
1,1,0,046.jpg,0.00996935085004225,0.527548463422136,2.23321820909132,NaN,1,1.06858762448155,,,,
2,1,0,046.jpg,2.24496830787939,2.76262017180852,4.36262747713135,NaN,0,,,,,
3,1,0,049.jpg,4.37443704487032,4.89204996720218,5.58617700073046,NaN,1,,,,,
4,1,0,059.jpg,5.59794823061748,6.115607339495,6.40970394424039,NaN,1,,,,,
5,1,0,059.jpg,6.42148755091512,6.93912432120123,7.03323982318761,NaN,0,,,,,
6,1,0,059.jpg,7.04502795795452,7.56267167131591,8.05677926423323,0.600117187040269,1,,,,,
7,1,0,026.jpg,8.06854023044434,8.58619601872033,10.9862095426233,NaN,1,,,,,
8,1,0,057.jpg,10.9979723200713,11.5156504469378,13.0097725297519,NaN,1,,,,,
9,1,0,022.jpg,13.0215359109452,13.5391865673828,14.139192665215,NaN,1,,,,,
10,1,0,054.jpg,14.1509403490199,14.668611230938,15.7627170729929,NaN,1,,,,,
11,1,0,021.jpg,15.7744813598047,16.2921389593175,18.7862700983169,NaN,1,,,,,
12,1,0,021.jpg,18.7980343851295,19.3157043614292,19.8098059168897,0.623714587673021,1,,,,,
13,1,0,055.jpg,19.8215865048351,20.3392284069596,20.9392601639838,NaN,1,20.7981512099223,,,,
14,1,0,047.jpg,20.9510078477888,21.4686482405496,22.9627727383458,NaN,1,,,,,
15,1,0,018.jpg,22.9745394401407,21.4686482405496,23.4921885872145,NaN,1,,,,,
16,1,0,017.jpg,23.5039534777716,24.0216258690543,25.4216143375115,NaN,1,,,,,
17,1,0,023.jpg,25.4333786243233,25.9510473931323,28.3510482383763,NaN,1,,,,,
18,1,0,029.jpg,28.362835769397,28.8804692190824,29.3746012637002,NaN,1,,,,,
19,1,0,053.jpg,29.3863525699799,29.9040074526374,31.5040307572208,NaN,1,,,,,
20,1,0,048.jpg,31.5157802522635,32.0334366442848,33.9275647041814,NaN,1,,,,,
21,1,0,024.jpg,33.9393283872478,34.4569850811422,36.6570162947946,NaN,1,,,,,
22,1,0,025.jpg,36.6687645823458,37.1864330492817,39.080592503954,NaN,1,,,,,
23,1,0,025.jpg,39.0923178491685,39.6099660906229,41.4100049114713,0.517726728395246,1,41.1394640489061,,,,
24,1,0,056.jpg,41.4217631608262,41.9393975161302,44.2335273268891,NaN,1,,,,,
25,1,0,030.jpg,44.2452919155739,44.7629513263237,45.4570732280145,NaN,1,,,,,
26,1,0,051.jpg,45.4688305717509,45.9864884731369,48.1864994613079,NaN,1,,,,,
27,1,0,016.jpg,48.1982682762127,48.7159343281655,50.9159326376775,NaN,1,,,,,
28,1,0,019.jpg,50.927696320744,51.4453708251367,53.0453793379511,NaN,1,,,,,
29,1,0,050.jpg,53.0571493603466,53.5747960924373,53.8688978290211,NaN,1,,,,,
30,1,0,058.jpg,53.8806630214522,54.3983462801571,56.4924481978651,NaN,1,,,,,
31,1,0,058.jpg,56.504229993302,54.3983462801571,57.0218631411144,NaN,0,,,,,
32,1,0,028.jpg,-2.01253345883197,-1.49487978366597,0.799288968691144,0.0118361325503429,0,57.9631355895108,,,59.0454949552523,
33,1,0,027.jpg,0.811030615039272,-1.49487978366597,1.32866919656226,NaN,1,1.22287513965421,,,,
34,1,0,060.jpg,1.34043438899334,1.85808836603155,4.05810388229656,NaN,1,,,,,
35,1,0,020.jpg,4.06986937659985,4.58752244801963,5.88164169322954,NaN,1,,,,,
36,1,0,052.jpg,5.89343043174176,6.41106901326566,6.90518354925825,NaN,1,,,,,
37,1,0,048.jpg,6.91694662857844,7.43460513371065,9.328751909723,NaN,1,,,,,
38,1,0,057.jpg,9.34051015907789,9.85816715484543,11.352292256388,NaN,1,,,,,
39,1,0,056.jpg,11.3640426570491,11.8817319532109,13.3758323011798,NaN,1,,,,,
40,1,0,030.jpg,13.3876089647783,13.9052590174706,16.3993783834285,NaN,1,,,,,
41,1,0,025.jpg,16.4111435758596,16.9288008734993,18.5288238762105,NaN,1,,,,,
42,1,0,022.jpg,18.5405785030916,19.0582282539108,20.6582572940788,NaN,1,,,,,
43,1,0,052.jpg,20.6700098078491,21.1876728410734,22.9876905308229,NaN,1,,,,,
44,1,0,026.jpg,22.9994463651947,23.517100644106,24.117099798862,NaN,1,,,,,
45,1,0,060.jpg,24.1288782736983,24.646514138366,26.7406377909192,NaN,1,,,,,
46,1,0,054.jpg,26.7524280387961,27.2700599791169,27.8700609451098,NaN,1,,,,,
47,1,0,024.jpg,27.8818222131931,28.3994807183244,30.8936347996605,NaN,1,,,,,
48,1,0,018.jpg,30.9053951621254,31.423035253014,33.3171654260195,NaN,1,32.576134294779,,,,
49,1,0,019.jpg,33.3289414858727,33.8466036134787,36.2466566827252,NaN,1,,,,,
