Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,experiment,Clock_1,Clock_2,dataOneMinPress_1,dataOneMinPress_2
1,1,2,7234.jpg,0.0181696938923324,0.594666701281312,1.42993649512368,NaN,1,0,,,,
2,1,2,7234.jpg,1.44168355390639,1.95910143482934,4.06499280487355,0.552788560488807,1,0,,,,
3,1,2,2490.jpg,4.07676008910062,4.59443456148074,7.08854337255957,NaN,1,0,,,,
4,1,2,7920.jpg,7.1003136755096,7.61797033742369,10.1120921290117,NaN,1,0,,,,
5,1,2,9000.jpg,10.123856696388,10.6415112451962,11.135626999338,NaN,1,0,,,,
6,1,2,4571.jpg,11.1473909629697,11.6650572847975,12.3591652506341,NaN,1,0,,,,
7,1,2,4571.jpg,12.3709313273716,12.8885852724352,13.0885823140866,0.482404920035606,1,0,,,,
8,1,2,4571.jpg,13.1003465795907,13.618000524654,15.218005233862,0.823616315473373,1,0,,,,
9,1,2,9101.jpg,15.2297710087273,15.7474481979582,16.1474256782844,NaN,1,0,,,,
10,1,2,7700.jpg,16.1591905475329,16.6768453982133,17.7709661634356,NaN,1,0,,,,
11,1,2,2221.jpg,17.782730127067,18.3003907133211,20.5945139538962,NaN,1,0,,,,
12,1,2,9331.jpg,20.6062782194001,21.1239336738252,22.6180545597963,NaN,1,0,,,,
13,1,2,9700.jpg,22.6298206365339,23.1474766947035,24.1474776003204,NaN,1,0,,,,
14,1,2,9561.jpg,24.1592427714413,24.6768973202493,25.3710152478718,NaN,1,0,,,,
15,1,2,5120.jpg,25.3827798152481,25.900433156567,27.1004528386411,NaN,1,0,,,,
16,1,2,4635.jpg,27.1122035198914,27.6298589743164,30.029869660596,NaN,1,0,,,,
17,1,2,9360.jpg,30.0416354354613,30.5592993423109,30.9592867844231,NaN,1,0,,,,
18,1,2,8465.jpg,30.9710782184343,31.4887143530318,32.7828282355654,NaN,1,0,,,,
19,1,2,8465.jpg,32.794594010431,33.312250672345,35.5122745806314,NaN,0,0,,,,
20,1,2,4320.jpg,35.5240228469033,36.0416798106899,36.3357936932234,NaN,1,0,,,,
21,1,2,9042.jpg,36.3475627886842,36.8652143187692,38.6652205977132,NaN,1,0,,,,
22,1,2,9390.jpg,38.6769851650895,39.1946457513436,41.6887705616546,NaN,1,0,,,,
23,1,2,4561.jpg,41.7005357327753,42.2182005452416,43.0181884099752,NaN,1,0,,,,
24,1,2,9001.jpg,43.0299538829684,43.5476205066684,44.0417262990245,NaN,1,0,,,,
25,1,2,2720.jpg,44.0534923757623,44.5711580938455,46.371151996025,NaN,1,0,,,,
26,1,2,1945.jpg,46.382918374635,46.9005732253154,49.1947028052086,NaN,1,0,,,,
27,1,2,4561.jpg,49.2064655613513,49.7241219213931,51.3241281399626,0.811849936863382,0,0,,,,
28,1,2,7234.jpg,51.3358914998496,51.8535466524022,54.1476750248064,NaN,1,0,,,,
29,1,2,7234.jpg,54.1594395921825,54.6770950466075,55.2770946239864,NaN,0,0,,,,
30,1,2,8465.jpg,55.2888610025964,55.8065155514046,57.8182867599714,0.0824395146014467,0,0,,,,
31,1,2,8465.jpg,57.8300540441983,58.3477203660261,59.3477330446628,0.458874577793949,1,0,,,,
32,1,2,7920.jpg,59.3594961026777,59.8771304260415,61.0771793897288,NaN,1,0,,,,
33,1,2,1945.jpg,61.0889409383822,61.606558356897,62.1006707904435,NaN,1,0,,,,
34,1,2,9000.jpg,62.112435659692,62.6300896047555,64.7242161055515,NaN,1,0,,,,
35,1,2,9001.jpg,64.7359812766722,65.2536475985003,66.8536417421774,NaN,1,0,,,,
36,1,2,9331.jpg,66.8654072151705,67.3830735369986,69.2771872987832,NaN,1,0,,,,
37,1,2,9360.jpg,69.2889512624149,69.8066203010935,71.900732613891,NaN,1,0,,,,
38,1,2,5120.jpg,71.9125035205857,72.4301544469261,72.7242686313321,NaN,1,0,,,,
39,1,2,4635.jpg,72.736033802453,73.2536901624949,75.653700546902,NaN,1,0,,,,
40,1,2,2221.jpg,75.6654684348737,76.183129323,77.4772426017892,NaN,1,0,,,,
41,1,2,9390.jpg,77.4890056598038,78.0066641329518,80.0066719816316,NaN,1,0,,,,
42,1,2,9390.jpg,80.0184326246679,80.5361007577296,82.4302199532158,NaN,0,0,,,,
43,1,2,9042.jpg,82.4419811999967,82.9596574836105,85.0537652683238,NaN,1,0,,,,
44,1,2,9101.jpg,85.0655449293151,85.5831840826356,86.0772998367777,NaN,1,0,,,,
45,1,2,9561.jpg,86.0890668191323,86.6067289147479,87.8067238432932,NaN,1,0,,,,
46,1,2,4571.jpg,87.8184941462432,88.3361420538606,89.9361494799193,NaN,1,0,,,,
47,1,2,2490.jpg,89.9479188772523,90.4655891234202,92.8655804898724,NaN,1,0,,,,
48,1,2,4320.jpg,92.8773510946946,93.3949993041842,95.595009628217,NaN,1,0,,,,
49,1,2,7700.jpg,95.6067796292948,96.1244305556352,98.4185574186779,NaN,1,0,,,,
50,1,2,2720.jpg,98.4303265141386,98.947977440479,100.442104363896,NaN,1,0,,,,
51,1,2,9700.jpg,100.453869535017,100.97156664782,102.465643158562,NaN,1,0,,,,
52,1,2,7234.jpg,102.477410140917,102.995064991597,105.195074410013,NaN,1,0,,,,
53,1,2,7234.jpg,105.206839581134,105.724507714196,105.924491473466,0.529499414216843,1,0,,,,
54,1,2,4320.jpg,105.936254531481,106.453915117735,108.748040773288,NaN,1,0,,,,
55,1,2,4320.jpg,108.759802925686,109.277499132872,110.371580352822,0.494170996773164,1,0,,,,
56,1,2,4561.jpg,110.383349750155,110.901009732665,111.101026094144,NaN,1,0,,,,
57,1,2,7920.jpg,111.112770436076,111.630421060544,113.524541765391,NaN,1,0,,,,
58,1,2,2720.jpg,113.536305729023,114.05396269281,114.548076635718,NaN,1,0,,,,
59,1,2,8465.jpg,114.559847844285,115.077498770625,115.571615128512,NaN,1,0,,,,
60,1,2,4571.jpg,115.583378790271,116.101034546568,117.701039859521,NaN,1,0,,,,
61,1,2,5120.jpg,117.712805332514,118.230461390683,119.030464650904,NaN,1,0,,,,
62,1,2,4635.jpg,119.042225595813,119.559891313896,120.45399843449,NaN,1,0,,,,
63,1,2,9561.jpg,120.465762699994,120.983419060036,122.077539825258,NaN,1,0,,,,
64,1,2,2221.jpg,122.089325825568,122.606962262038,123.701080310409,NaN,1,0,,,,
65,1,2,9700.jpg,123.712843670296,124.230502143444,125.324621097433,NaN,1,0,,,,
66,1,2,9390.jpg,125.336385061064,125.854040817361,127.454044620953,NaN,1,0,,,,
67,1,2,7700.jpg,127.465813716413,127.983479736369,128.583479917492,NaN,1,0,,,,
68,1,2,9360.jpg,128.595248711081,129.112889675635,129.712885026802,NaN,1,0,,,,
69,1,2,9101.jpg,129.72464989605,130.242306256092,130.642302754374,NaN,1,0,,,,
70,1,2,9000.jpg,130.654076377919,131.171736662301,132.065844084767,NaN,1,0,,,,
71,1,2,1945.jpg,132.077610161505,132.595292180692,134.595270445886,NaN,1,0,,,,
72,1,2,1945.jpg,134.607036824497,135.124693184539,135.818807489693,0.647146899212885,1,0,,,,
73,1,2,2490.jpg,135.830573868303,136.348228718984,138.242354857533,NaN,1,0,,,,
74,1,2,9001.jpg,138.254123651121,138.771774879334,140.571791120064,NaN,1,0,,,,
75,1,2,9042.jpg,140.583576516629,141.101213254971,143.19532828462,NaN,1,0,,,,
76,1,2,9331.jpg,143.20709858757,143.724749815782,145.818874807217,NaN,1,0,,,,
77,1,2,2720.jpg,145.830642091444,146.348297243997,147.242415533866,NaN,1,0,,,,
78,1,2,2221.jpg,147.254179497497,147.771836159412,148.665953543664,NaN,1,0,,,,
79,1,2,7920.jpg,148.677720827891,149.195383829123,150.59540598655,NaN,1,0,,,,
80,1,2,9390.jpg,150.607167837076,151.124811216609,152.018943090732,NaN,1,0,,,,
81,1,2,8465.jpg,152.030732411637,152.548338359004,154.654232445899,NaN,1,0,,,,
82,1,2,4571.jpg,154.665993994552,155.183667863188,157.277776553518,NaN,1,0,,,,
83,1,2,9700.jpg,157.289542932128,157.807205631488,159.301319876269,NaN,1,0,,,,
84,1,2,4320.jpg,159.313083236156,159.830740501814,160.630790854114,NaN,1,0,,,,
85,1,2,9561.jpg,160.642548176555,161.16016287822,162.960170364653,NaN,1,0,,,,
86,1,2,1945.jpg,162.971989570916,163.489587669603,164.195471372091,NaN,1,0,,,,
87,1,2,9042.jpg,164.20723624134,164.724903166912,165.924898095457,NaN,1,0,,,,
88,1,2,9360.jpg,165.93669888751,166.45431177794,167.548475107157,NaN,1,0,,,,
89,1,2,9001.jpg,167.560242391384,168.077855583687,169.477859930648,NaN,1,0,,,,
90,1,2,9001.jpg,169.489622083046,170.0072826693,172.501411705823,0.788329858280122,1,0,,,,
91,1,2,9101.jpg,172.513193781793,173.030829312646,175.030847123112,0.670656412265771,0,0,,,,
92,1,2,4635.jpg,175.042623463508,175.560285257251,178.054399803904,NaN,1,0,,,,
93,1,2,5120.jpg,178.066167691875,178.583811071408,179.277940470178,NaN,1,0,,,,
94,1,2,9331.jpg,179.289693264535,179.80734751147,181.207400158,NaN,1,0,,,,
95,1,2,4561.jpg,181.219129104444,181.73679120006,182.030901460126,NaN,1,0,,,,
96,1,2,7234.jpg,182.042676593033,182.560307897674,184.560339594266,NaN,1,0,,,,
97,1,2,2490.jpg,184.572079408113,185.08974693743,186.689742892341,NaN,1,0,,,,
98,1,2,9000.jpg,186.701511082185,187.219176196524,189.419197689832,NaN,1,0,,,,
99,1,2,9000.jpg,189.430936899935,189.948593259976,192.442721390883,0.729543246075082,1,0,,,,
100,1,2,9000.jpg,192.454485656387,192.972164958723,195.372153910197,0.611855612062755,1,0,,,,
101,1,2,7700.jpg,195.38392330753,195.901573328254,196.995694395348,NaN,1,0,,,,
102,1,2,4635.jpg,197.007458660852,197.525120152723,197.725111760673,NaN,1,0,,,,
103,1,2,4635.jpg,197.736874516816,198.254553215408,199.654580806536,0.835386618423627,1,0,,,,
104,1,2,4320.jpg,199.666341751445,200.183955849365,200.783955426743,NaN,1,0,,,,
105,1,2,9000.jpg,200.795719692247,201.313402315179,202.007493376167,NaN,1,0,,,,
106,1,2,9042.jpg,202.019257037926,202.536913096096,203.431031687838,NaN,1,0,,,,
107,1,2,7700.jpg,203.442796557086,203.960456539596,204.360455754728,NaN,1,0,,,,
108,1,2,9360.jpg,204.372215190275,204.889922868608,206.783995575759,NaN,1,0,,,,
109,1,2,9001.jpg,206.795760143136,207.313440652962,209.207541132365,NaN,1,0,,,,
110,1,2,4561.jpg,209.219306303486,209.736962663528,211.231085662605,NaN,1,0,,,,
111,1,2,4571.jpg,211.242853852449,211.760523796745,212.760507193768,NaN,1,0,,,,
112,1,2,5120.jpg,212.772271157399,213.289945026035,215.384055527599,NaN,1,0,,,,
113,1,2,2221.jpg,215.395822811826,215.913486416803,217.40759885035,NaN,1,0,,,,
114,1,2,9390.jpg,217.419365530832,217.937018268406,220.337029256558,NaN,1,0,,,,
115,1,2,7234.jpg,220.348793823934,220.86645199521,223.160578254508,NaN,1,0,,,,
116,1,2,7234.jpg,223.17234221814,223.690020011115,224.69000099316,0.635385350559773,1,0,,,,
117,1,2,2490.jpg,224.701765258664,225.219420109344,226.713543712166,NaN,1,0,,,,
118,1,2,2720.jpg,226.72531582635,227.242982148178,228.242966450818,NaN,1,0,,,,
119,1,2,8465.jpg,228.254732829428,228.772378322067,230.372404766081,NaN,1,0,,,,
120,1,2,9331.jpg,230.384162994138,230.901817241074,232.995945854976,NaN,1,0,,,,
121,1,2,9101.jpg,233.007708309246,233.525359839331,235.419485072264,NaN,1,0,,,,
122,1,2,9700.jpg,235.431252054618,235.948906603426,236.443020546335,NaN,1,0,,,,
123,1,2,9700.jpg,236.454783000605,236.972477094684,239.066567672676,0.811869558563103,1,0,,,,
124,1,2,7920.jpg,239.078338579371,239.596005504943,239.795985339874,NaN,1,0,,,,
125,1,2,9561.jpg,239.807754435334,240.325406267292,241.41952522128,NaN,1,0,,,,
126,1,2,1945.jpg,241.431293411124,241.948946752443,243.843084362139,NaN,1,0,,,,
127,1,2,1945.jpg,243.854836854624,244.372512534493,246.372500157728,0.600094667154053,1,0,,,,
