Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,experiment,Clock,dataOneMinPress
1,1,2,9700.jpg,0.00902489700820297,0.57378884901118,1.33902429899899,NaN,1,0,,
2,1,2,4635.jpg,1.37216527599958,1.90450985600182,2.8023579280125,NaN,1,0,,
3,1,2,7920.jpg,2.81839610500901,3.35111590201268,3.84996993200912,NaN,1,0,,
4,1,2,2221.jpg,3.86733744799858,4.39866222100682,5.39620507300424,NaN,1,0,,
5,1,2,2490.jpg,5.41347345100075,5.94461859400326,6.34384638900519,NaN,1,0,,
6,1,2,9561.jpg,6.36113035900053,6.89272630801133,9.18705559600494,NaN,1,0,,
7,1,2,2720.jpg,9.20420261099935,9.73588092401042,10.1350668390078,NaN,1,0,,
8,1,2,4320.jpg,10.1530765089992,10.6839375499985,13.0782158690126,NaN,1,0,,
9,1,2,9360.jpg,13.094191725002,13.6268067100027,14.7237784540048,NaN,1,0,,
10,1,2,9390.jpg,14.7412963230017,15.2724270460021,15.5718963880063,NaN,1,0,,
11,1,2,9390.jpg,15.5886389740044,16.1203754080052,17.1185129190126,NaN,0,0,,
12,1,2,9331.jpg,17.1350063090067,17.6662334220018,19.5616916990111,NaN,1,0,,
13,1,2,4571.jpg,19.5791252630006,20.1116612390033,22.2065536520095,NaN,1,0,,
14,1,2,4561.jpg,22.2237237880036,22.7551819590008,24.2514785300009,NaN,1,0,,
15,1,2,7234.jpg,24.2675038260058,24.800280194002,26.5963640590053,NaN,1,0,,
16,1,2,7700.jpg,26.6125673070055,27.1449463480094,29.4395345490047,NaN,1,0,,
17,1,2,9101.jpg,29.4564874040079,29.9878953080042,30.2877535279986,NaN,1,0,,
18,1,2,9101.jpg,30.3052144220128,30.8362452970032,31.7340946620097,NaN,0,0,,
19,1,2,9042.jpg,31.7527199590113,32.2818816930085,32.5820796790067,NaN,1,0,,
20,1,2,8465.jpg,32.599816684,33.1309770860098,33.729405156002,NaN,1,0,,
21,1,2,5120.jpg,33.7459013040061,34.2780515519989,36.1736443950067,NaN,1,0,,
22,1,2,9000.jpg,36.1911462870048,36.722101131003,38.6178568790056,NaN,1,0,,
23,1,2,1945.jpg,38.6349823640048,39.1664088550024,41.4611086680088,NaN,1,0,,
24,1,2,1945.jpg,41.4780724810116,42.0094244180073,43.506359099003,NaN,0,0,,
25,1,2,9001.jpg,43.5229722020013,44.0548778660013,44.3543659470015,NaN,1,0,,
26,1,2,4571.jpg,44.3709523120051,44.9029922670015,47.2972696180077,NaN,1,0,,
27,1,2,8465.jpg,47.3137488920038,47.8458253110002,49.9413123150007,NaN,1,0,,
28,1,2,8465.jpg,49.9581066040118,50.489836888999,51.2880093650019,NaN,0,0,,
29,1,2,9331.jpg,51.3043449100078,51.8367523900088,53.3333006370085,NaN,1,0,,
30,1,2,9000.jpg,53.3493059850007,53.8821532720031,56.376286195009,NaN,1,0,,
31,1,2,2490.jpg,56.393857632007,56.9245812500012,58.8203535710054,NaN,1,0,,
32,1,2,2221.jpg,58.8378470000025,59.3688859670074,61.5639911690087,NaN,1,0,,
1,1,2,9000.jpg,0.0201871509925695,0.552542158999131,0.752088220993755,NaN,1,1,,
2,1,2,9001.jpg,0.769160936004482,1.30092830299691,3.29609491600422,NaN,1,1,,
3,1,2,2490.jpg,3.31436148300418,3.84487144599552,4.94232726200426,NaN,1,1,,
4,1,2,4571.jpg,4.96005823000451,5.4910291260021,7.18694870299078,NaN,1,1,,
5,1,2,1945.jpg,7.20462782400136,7.73499743400316,9.7311604419956,NaN,1,1,,
6,1,2,2720.jpg,9.74880106699129,10.2796887150034,10.7785556610033,NaN,1,1,,
7,1,2,9700.jpg,10.7951528690028,11.3269782679999,12.3248937869939,NaN,1,1,,
8,1,2,7920.jpg,12.3415293900034,12.8735303209978,14.9686675690027,NaN,1,1,,
9,1,2,9561.jpg,14.9853137199971,15.5172909999965,17.2135327760043,NaN,1,1,,
10,1,2,9390.jpg,17.2299923579994,17.7619445349992,19.4581144910044,NaN,1,1,,
11,1,2,9390.jpg,19.4748131639935,20.006642362001,22.1017648949928,NaN,0,1,,
12,1,2,4635.jpg,22.1187128710008,22.6506366480025,23.7471320780023,NaN,1,1,,
13,1,2,9331.jpg,23.7642912089941,24.2969176609913,24.4961624930002,NaN,1,1,,
14,1,2,9360.jpg,24.514197683995,25.0446720530017,25.443478784,NaN,1,1,,
15,1,2,7700.jpg,25.461732390002,25.992604731,27.3891990879929,NaN,1,1,,
16,1,2,7234.jpg,27.4055792069994,27.9381227800041,28.1376448590017,NaN,1,1,,
17,1,2,4561.jpg,28.1544302230031,28.6863088929967,30.6817184029933,NaN,1,1,,
18,1,2,9101.jpg,30.699057388003,31.2304750519979,31.8291831230017,NaN,1,1,,
19,1,2,5120.jpg,31.8464871530014,32.3778679989919,34.5721104870026,NaN,1,1,,
20,1,2,9042.jpg,34.5899983999989,35.1211978229985,36.3184463799989,NaN,1,1,,
21,1,2,8465.jpg,36.3359589979955,36.8668347649946,37.7650016539992,NaN,1,1,,
22,1,2,4320.jpg,37.7821329059952,38.3135394839919,40.1094237700017,NaN,1,1,,
23,1,2,2221.jpg,40.1267839459906,40.6579463130038,40.9565157229954,NaN,1,1,,
24,1,2,9700.jpg,40.9735784299992,41.5059434269933,42.7034364479914,NaN,1,1,,
25,1,2,4635.jpg,42.7217670300015,43.251187433998,43.4517557079962,NaN,1,1,,
