Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,Clock,dataOneMinPress
1,1,1,032.jpg,0.0184537310015003,0.550843375000113,1.4493148190013,NaN,1,,
2,1,1,065.jpg,1.46602592300042,1.99759003900181,2.49694991100114,NaN,1,,
3,1,1,072.jpg,2.51347453400012,3.0456522860004,5.04072987000109,NaN,1,,
4,1,1,069.jpg,5.05753292100053,5.58932363799977,6.68681615600144,NaN,1,,
5,1,1,073.jpg,6.70346943700133,7.2356405419996,7.93409050300033,NaN,1,,
6,1,1,031.jpg,7.95043996700042,8.48261616699892,10.1787915720015,NaN,1,,
7,1,1,068.jpg,10.1952333949994,10.7270699309993,12.9224012429986,NaN,1,,
8,1,1,071.jpg,12.938839573002,10.7270699309993,13.4709409509996,NaN,1,,
9,1,1,044.jpg,13.4873767450008,14.0195328920017,15.216738965999,NaN,1,,
10,1,1,044.jpg,15.2333218300009,15.7653083069999,16.3642944099993,NaN,0,,
11,1,1,074.jpg,16.3807772660002,16.9119117390001,18.1098770499993,NaN,1,,
12,1,1,041.jpg,18.1267467450016,18.6585894700002,18.9581577589997,NaN,1,,
13,1,1,038.jpg,18.9744364649996,19.5065204380007,19.6063786150007,NaN,1,,
14,1,1,033.jpg,19.6229774200001,20.1550351219994,20.2550809790009,NaN,1,,
15,1,1,034.jpg,20.2714895159988,20.8034265380011,21.8003101270006,NaN,1,20.8526946740021,
16,1,1,064.jpg,21.8178813830018,22.3500110390014,23.2477286700014,NaN,1,,
17,1,1,043.jpg,23.2639844750011,23.796460734,24.6944544139988,NaN,1,,
18,1,1,035.jpg,24.710994735,25.2430987119988,27.4378943650008,NaN,1,,
19,1,1,035.jpg,27.454656312002,27.9869212779995,30.2813172189999,NaN,0,,
