Trial,nBack,Valence,Image,RT,Accuracy,Clock,dataOneMinPress
1,1,1,036.jpg,NaN,1,,
2,1,1,066.jpg,NaN,1,,
3,1,1,043.jpg,NaN,1,,
4,1,1,068.jpg,NaN,1,,
5,1,1,072.jpg,NaN,1,,
6,1,1,075.jpg,NaN,1,,
7,1,1,032.jpg,NaN,1,,
8,1,1,067.jpg,NaN,1,,
9,1,1,069.jpg,NaN,1,,
10,1,1,061.jpg,NaN,1,,
11,1,1,038.jpg,NaN,1,,
12,1,1,033.jpg,NaN,1,,
13,1,1,073.jpg,NaN,1,,
14,1,1,039.jpg,NaN,1,,
15,1,1,063.jpg,NaN,1,,
16,1,1,035.jpg,NaN,1,,
17,1,1,074.jpg,NaN,1,,
18,1,1,042.jpg,NaN,1,,
19,1,1,037.jpg,NaN,1,,
20,1,1,040.jpg,NaN,1,,
21,1,1,064.jpg,NaN,1,,
22,1,1,064.jpg,NaN,0,,
23,1,1,044.jpg,NaN,1,,
24,1,1,031.jpg,NaN,1,,
25,1,1,070.jpg,NaN,1,,
26,1,1,065.jpg,NaN,1,,
27,1,1,041.jpg,NaN,1,,
28,1,1,071.jpg,NaN,1,,
29,1,1,071.jpg,NaN,0,,
30,1,1,045.jpg,NaN,1,,
31,1,1,062.jpg,NaN,1,,
32,1,1,034.jpg,NaN,1,,
33,1,1,034.jpg,NaN,0,,
