Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,Clock_1,Clock_2,dataOneMinPress
1,1,1,037.jpg,0.0159496810010751,0.548048933000246,1.64602172399464,NaN,1,,,
2,1,1,062.jpg,1.66239814399887,2.19452222999826,4.48926684499747,NaN,1,,,
3,1,1,069.jpg,4.50572284199734,5.03777989299851,6.23527475699666,NaN,1,,,
4,1,1,067.jpg,6.25161093199858,6.78405184599978,6.9832450679969,NaN,1,,,
5,1,1,070.jpg,7.00016288999905,7.53188922899426,8.92875701899902,NaN,1,,,
6,1,1,063.jpg,8.94558496699756,9.47754623999936,10.7746386709987,NaN,1,,,
7,1,1,073.jpg,10.7910191369956,11.3226186049942,11.9216595440012,NaN,1,,,
8,1,1,045.jpg,11.9381008339988,12.4702860659963,14.0666833249998,NaN,1,,,
9,1,1,045.jpg,14.0830883249946,14.6144625249945,16.9100022470011,NaN,0,14.565838853996,,
10,1,1,033.jpg,16.9266197199977,17.4587481679991,18.8552441249994,0.948034132001339,0,,,
11,1,1,034.jpg,18.8718397490011,19.4039083759999,21.1998197590001,0.798172491995501,0,,,
12,1,1,071.jpg,21.2165568880009,21.7485745759986,22.5466827889977,NaN,1,,,
13,1,1,071.jpg,22.563485284998,23.0952069949999,23.5940393509954,NaN,0,23.3942424319976,,
14,1,1,041.jpg,-0.618154102994595,-0.0851810169988312,0.313677349004138,NaN,1,,,24.2262308489953
15,1,1,036.jpg,0.330228847000399,0.861983864000649,1.6605265840044,NaN,1,1.643848918,,
16,1,1,068.jpg,1.67699696700583,2.20905311700335,3.00728999700368,NaN,1,,,
17,1,1,031.jpg,3.02387445100612,3.55607255900395,5.85049562100176,NaN,1,4.95245797800453,5.11916660400311,
