Trial,nBack,Valence,Image,RT,Accuracy,Clock_1,Clock_2,dataOneMinPress
1,1,1,070.jpg,NaN,1,,,
2,1,1,072.jpg,NaN,1,,,
3,1,1,034.jpg,NaN,1,,,
4,1,1,075.jpg,NaN,1,9.14478717400016,9.29506149000008,
5,1,1,075.jpg,NaN,0,,,
6,1,1,062.jpg,NaN,1,,,
7,1,1,033.jpg,NaN,1,,,
8,1,1,037.jpg,NaN,1,16.7774496230013,,
9,1,1,037.jpg,NaN,0,,,
10,1,1,037.jpg,NaN,0,,,
1,1,1,062.jpg,NaN,1,,,
2,1,1,045.jpg,NaN,1,,,
3,1,1,045.jpg,NaN,0,,,
4,1,1,045.jpg,NaN,0,,,
5,1,1,066.jpg,NaN,1,,,
6,1,1,068.jpg,NaN,1,,,
7,1,1,068.jpg,NaN,0,,,
8,1,1,075.jpg,NaN,1,,,
9,1,1,036.jpg,NaN,1,,,
10,1,1,044.jpg,NaN,1,,,
